Building name,Height (m),Built in
"Burj Khalifa, Dubai",828,2010
"Shanghai Towers,China",632,
,,
"Makkah Royal Clock tower hotel, Saudi Arabia",,2012
"Ping An Finance Center, China",599,2017
"Lotte World Tower, South Korea",554.5,
"",541.3,2014
"Guangzohou CTF Finance Tower, China",530,2016
,,
"Tianjin CTF Finance Tower, China",530,2016
"China Zun, China",,2018
"Taipai 101,Taiwan",509,
"Shanghai World financial Centre, China",492,2008
"International commerce center, Hongkong",,2010
